Ref,Val,Package,PosX,PosY,Rot,Side
"D100","~","GS8011AR-G",203.832240,180.953601,0.000000,top
"D101","~","GS8011AR-G",186.832240,180.953601,0.000000,top
"D102","~","GS8011AR-G",169.832240,180.953601,0.000000,top
"D110","GS4011AG-G","GS4011AG-G",135.298910,204.453601,0.000000,top
"D510","10mm 7-Segment","GS2011AG-G",71.019240,181.053601,0.000000,top
"D511","10mm 7-Segment","GS2011AG-G",64.019240,181.053601,0.000000,top
"D512","10mm 7-Segment","GS2011AG-G",57.019240,181.053601,0.000000,top
"D513","10mm 7-Segment","GS2011AG-G",50.019240,181.053601,0.000000,top
"D514","10mm 7-Segment","GS2011AG-G",43.019240,181.053601,0.000000,top
"D515","10mm 7-Segment","GS2011AG-G",36.019240,181.053601,0.000000,top
"D520","10mm 7-Segment","GS2011AG-G",64.019240,161.053601,0.000000,top
"D521","10mm 7-Segment","GS2011AG-G",57.019240,161.053601,0.000000,top
"D522","10mm 7-Segment","GS2011AG-G",50.019240,161.053601,0.000000,top
"D523","10mm 7-Segment","GS2011AG-G",43.019240,161.053601,0.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",-16.801110,133.953601,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",287.503512,222.620177,0.000000,top
"FID5","Fiducial","Fiducial_0.5mm_Mask1mm",287.448890,133.953601,0.000000,top
"J1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Horizontal",-0.124090,228.568601,90.000000,top
"J2","Conn_01x08_Pin","Harwin_M20-89008xx_1x08_P2.54mm_Horizontal",101.198890,208.078601,0.000000,top
"R607","5.1k","R_0603_1608Metric",-4.301110,182.703601,-90.000000,top
"R608","5.1k","R_0603_1608Metric",1.448890,184.953601,180.000000,top
"S600","SW_Omron_B3FS","SW_SPST_Omron_B3FS-100xP",5.798890,171.053601,0.000000,top
"U205","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",135.742833,162.145423,-20.000000,top
"U206","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",136.939903,165.434348,-20.000000,top
"U207","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",138.136973,168.723272,-20.000000,top
"U208","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",139.334044,172.012196,-20.000000,top
"U209","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",140.531115,175.301120,-20.000000,top
"U210","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",141.728184,178.590045,-20.000000,top
"U211","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",142.925255,181.878969,-20.000000,top
"U212","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",144.122325,185.167893,-20.000000,top
"U213","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",145.319396,188.456817,-20.000000,top
"U214","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",146.516466,191.745741,-20.000000,top
"U215","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",147.713537,195.034665,-20.000000,top
"U216","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",148.910608,198.323589,-20.000000,top
"U217","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",150.107679,201.612513,-20.000000,top
"U218","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",151.304749,204.901438,-20.000000,top
"U219","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",152.501819,208.190362,-20.000000,top
"U220","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",153.698890,211.479286,180.000000,top
"U221","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",157.198890,211.479286,180.000000,top
"U222","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",160.698890,211.479286,180.000000,top
"U223","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",164.198890,211.429286,180.000000,top
"U224","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",167.698890,211.429286,180.000000,top
"U225","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",171.198890,211.429286,180.000000,top
"U226","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",174.698890,211.429286,180.000000,top
"U227","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",178.198890,211.429286,180.000000,top
"U228","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",181.698890,211.429286,180.000000,top
"U229","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",185.198890,211.429286,180.000000,top
"U230","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",188.698890,211.394286,180.000000,top
"U231","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",192.198890,211.394286,180.000000,top
"U232","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",195.698890,211.394286,180.000000,top
"U233","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",199.198890,211.394286,180.000000,top
"U234","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",202.698890,211.394286,180.000000,top
"U235","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",206.198890,211.394286,180.000000,top
"U236","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",209.698890,211.479286,180.000000,top
"U237","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",213.198890,211.479286,180.000000,top
"U238","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",216.698890,211.479286,180.000000,top
"U239","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",220.198890,211.479286,180.000000,top
"U240","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",223.698890,211.479286,180.000000,top
"U241","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",227.198890,211.479286,180.000000,top
"U301","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.898890,163.703601,0.000000,top
"U302","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.898890,167.203601,0.000000,top
"U303","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.898890,170.703601,0.000000,top
"U304","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.898890,174.203601,0.000000,top
"U305","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.898890,177.703601,0.000000,top
"U306","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.898890,181.203601,0.000000,top
"U307","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.898890,184.703601,0.000000,top
"U308","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.818890,188.203601,0.000000,top
"U309","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.818890,191.703601,0.000000,top
"U310","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.883890,195.203601,0.000000,top
"U311","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.883890,198.703601,0.000000,top
"U312","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.883890,202.203601,0.000000,top
"U313","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.883890,205.703601,0.000000,top
"U314","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.883890,209.203601,0.000000,top
"U315","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.898890,212.703601,0.000000,top
"U316","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",279.898890,216.203601,0.000000,top
"U317","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",274.898890,217.953601,0.000000,top
"U318","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",269.898890,217.953601,0.000000,top
"U319","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",274.898890,203.953601,0.000000,top
"U320","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",269.898890,203.953601,0.000000,top
"U321","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",274.898890,189.953601,0.000000,top
"U322","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",269.898890,189.953601,0.000000,top
"U323","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",274.898890,175.953601,0.000000,top
"U324","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",269.898890,175.953601,0.000000,top
"U325","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",274.898890,161.953601,0.000000,top
"U326","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",269.898890,161.953601,0.000000,top
"U401","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,163.703601,0.000000,top
"U402","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,167.203601,0.000000,top
"U403","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,170.703601,0.000000,top
"U404","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,174.203601,0.000000,top
"U405","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,177.703601,0.000000,top
"U406","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,181.203601,0.000000,top
"U407","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,184.703601,0.000000,top
"U408","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,188.203601,0.000000,top
"U409","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,191.703601,0.000000,top
"U410","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,195.203601,0.000000,top
"U411","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,198.703601,0.000000,top
"U412","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,202.203601,0.000000,top
"U413","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,205.703601,0.000000,top
"U414","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,209.203601,0.000000,top
"U415","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,212.703601,0.000000,top
"U416","WS2812B-4020_2","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-9.301110,216.203601,0.000000,top
