"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U239,U226,U227,U315,U224,U420,U305,U401,U415,U303,U205,U317,U306,U709,U223,U404,U412,U319,U236,U421,U238,U409,U208,U702,U321,U416,U206,U307,U413,U233,U302,U310,U231,U235,U220,U408,U417,U228,U217,U414,U213,U423,U216,U301,U218,U326,U211,U708,U219,U314,U403,U221,U309,U703,U405,U316,U222,U323,U411,U313,U304,U419,U424,U406,U407,U410,U704,U229,U418,U422,U312,U325,U402,U705,U232,U706,U707,U308,U237,U241,U234,U209,U225,U425,U215,U320,U212,U324,U426,U240,U711,U322,U700,U230,U712,U710,U318,U311,U214,U701,U210,U207";"LED_WS2812B-2020_PLCC4_2.0x2.0mm";102;"WS2812B-4020_2";;;
2;"D521,D520,D523,D510,D512,D511,D513,D522,D514,D515";"GS2011AG-G";10;"10mm 7-Segment";;;
3;"J1";"PinHeader_1x03_P2.54mm_Horizontal";1;"Conn_01x03_Pin";;;
4;"D101,D102,D100";"GS8011AR-G";3;"~";;;
5;"D110";"GS4011AG-G";1;"GS4011AG-G";;;
6;"R607,R608";"R_0603_1608Metric";2;"5.1k";;;
7;"S600,S606,S2,S602,S601";"SW_SPST_Omron_B3FS-100xP";5;"SW_Omron_B3FS";;;
8;"U605";"TYPEC-300D-BCP16H100";1;"YTC-TC16S-24";;;
9;"C1013,C1003";"C_0805_2012Metric";2;"100nF";;;
10;"U523,U111,U521,U513,U511,U522,U512,U102,U520,U100,U514,U110,U510,U515,U101";"TSSOP-20_4.4x6.5mm_P0.65mm";15;"TLC59108IPWR";;;
11;"R18,R16,R17,R14,R15";"R_0603_1608Metric";5;"0R";;;
12;"C601";"C_0805_2012Metric";1;"1uF";;;
13;"R603,R602,R612,R611";"R_0603_1608Metric";4;"2.2k";;;
14;"R521,R523,R110,R514,R522,R510,R101,R515,R513,R100,R512,R511,R520,R111,R102";"R_0603_1608Metric";15;"680";;;
15;"C904,C903";"C_0603_1608Metric";2;"22pF";;;
16;"R8";"R_0603_1608Metric";1;"R 4k7";;;
17;"C1012,C1002,C1001,C1011";"C_0805_2012Metric";4;"10uF";;;
18;"R1001";"R_0603_1608Metric";1;"33.2k";;;
19;"R1011";"R_0603_1608Metric";1;"56.2k";;;
20;"R002,R003,R000,R001";"R_0603_1608Metric";4;"0";;;
21;"C1016,C1014,C1015,C1006,C1004,C602,C1005";"C_0805_2012Metric";7;"22uF";;;
22;"R601,R1002,R605,R606,R1012,R604";"R_0603_1608Metric";6;"10k";;;
23;"J800";"TE_776228-1";1;"776228-1";;;
24;"H602";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"2x3";;;
25;"U1011,U1001";"SOT-23-6";2;"TPS563200";;;
26;"D1102,D1104,D1103,D1101";"D_SOD-123";4;"SBR80520LT1G";;;
27;"U3,U4,U5";"DIP-16_W7.62mm_LongPads";3;"4010";;;
28;"U602,U604";"SOT-23-3";2;"BC817";;;
29;"U900";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP2562-H-SN";;;
30;"TP1,TP2";"TestPoint_Pad_2.0x2.0mm";2;"TestPoint_Probe";;;
31;"L1011";"L_Bourns-SRN8040_8x8.15mm";1;"SRN8040-3R3Y";;;
32;"U1";"SSOP-28_5.3x10.2mm_P0.65mm";1;"MCP23017_SS";;;
33;"U902";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"MCP2515-xSO";;;
34;"C900,C902,C901";"C_0603_1608Metric";3;"C 1uF";;;
35;"U601";"ESP32-S3-WROOM-2";1;"ESP32-S3-WROOM-1(N8R2)";;;
36;"R609,R610";"R_0603_1608Metric";2;"R 1k";;;
37;"X900";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"K3A160002010";;;
38;"C604";"C_0603_1608Metric";1;"100nF";;;
39;"R9";"R_0603_1608Metric";1;"1k";;;
40;"C605";"R_0603_1608Metric";1;"100nF";;;
41;"L1001";"L_Bourns-SRN8040_8x8.15mm";1;"SRN8040-2R2Y";;;
42;"C603";"C_0201_0603Metric";1;"100nF";;;
43;"Q601,Q602";"SOT-23";2;"DTC123J";;;
44;"U603";"VQFN-28-1EP_5x5mm_P0.5mm_EP3.25x3.25mm";1;"CP2102N-A02-GQFN28R";;;
45;"R900";"R_0603_1608Metric";1;"R 120";;;
